latitude,longitude,value
-89.75,-179.75,9.09
-89.75,-179.25,9.09
-89.75,-178.75,9.09
-89.75,-178.25,9.09
-89.75,-177.75,9.09
-89.75,-177.25,9.09
-89.75,-176.75,9.09
-89.75,-176.25,9.09
-89.75,-175.75,9.09
-89.75,-175.25,9.09
-89.75,-174.75,9.09
-89.75,-174.25,9.09
-89.75,-173.75,9.09
-89.75,-173.25,9.09
-89.75,-172.75,9.09
-89.75,-172.25,9.09
-89.75,-171.75,9.09
-89.75,-171.25,9.09
-89.75,-170.75,9.09
-89.75,-170.25,9.09
-89.75,-169.75,9.09
-89.75,-169.25,9.09
-89.75,-168.75,9.09
-89.75,-168.25,9.09
-89.75,-167.75,9.09
-89.75,-167.25,9.09
-89.75,-166.75,9.09
-89.75,-166.25,9.09
-89.75,-165.75,9.09
-89.75,-165.25,9.09
-89.75,-164.75,9.09
-89.75,-164.25,9.09
-89.75,-163.75,9.09
-89.75,-163.25,9.09
-89.75,-162.75,9.09
-89.75,-162.25,9.09
-89.75,-161.75,9.09
-89.75,-161.25,9.09
-89.75,-160.75,9.09
-89.75,-160.25,9.09
-89.75,-159.75,9.09
-89.75,-159.25,9.09
-89.75,-158.75,9.09
-89.75,-158.25,9.09
-89.75,-157.75,9.09
-89.75,-157.25,9.09
-89.75,-156.75,9.09
-89.75,-156.25,9.09
-89.75,-155.75,9.09
-89.75,-155.25,9.09
-89.75,-154.75,9.09
-89.75,-154.25,9.09
-89.75,-153.75,9.09
-89.75,-153.25,9.09
-89.75,-152.75,9.09
-89.75,-152.25,9.09
-89.75,-151.75,9.09
-89.75,-151.25,9.09
-89.75,-150.75,9.09
-89.75,-150.25,9.09
-89.75,-149.75,9.09
-89.75,-149.25,9.09
-89.75,-148.75,9.09
-89.75,-148.25,9.09
-89.75,-147.75,9.09
-89.75,-147.25,9.09
-89.75,-146.75,9.09
-89.75,-146.25,9.09
-89.75,-145.75,9.09
-89.75,-145.25,9.09
-89.75,-144.75,9.09
-89.75,-144.25,9.09
-89.75,-143.75,9.09
-89.75,-143.25,9.09
-89.75,-142.75,9.09
-89.75,-142.25,9.09
-89.75,-141.75,9.09
-89.75,-141.25,9.09
-89.75,-140.75,9.09
-89.75,-140.25,9.09
-89.75,-139.75,9.09
-89.75,-139.25,9.09
-89.75,-138.75,9.09
-89.75,-138.25,9.09
-89.75,-137.75,9.09
-89.75,-137.25,9.09
-89.75,-136.75,9.09
-89.75,-136.25,9.09
-89.75,-135.75,9.09
-89.75,-135.25,9.09
-89.75,-134.75,9.09
-89.75,-134.25,9.09
-89.75,-133.75,9.09
-89.75,-133.25,9.09
-89.75,-132.75,9.09
-89.75,-132.25,9.09
-89.75,-131.75,9.09
-89.75,-131.25,9.09
-89.75,-130.75,9.09
-89.75,-130.25,9.09
-89.75,-129.75,9.09
-89.75,-129.25,9.09
-89.75,-128.75,9.09
-89.75,-128.25,9.09
-89.75,-127.75,9.09
-89.75,-127.25,9.09
-89.75,-126.75,9.09
-89.75,-126.25,9.09
-89.75,-125.75,9.09
-89.75,-125.25,9.09
-89.75,-124.75,9.09
-89.75,-124.25,9.09
-89.75,-123.75,9.09
-89.75,-123.25,9.09
-89.75,-122.75,9.09
-89.75,-122.25,9.09
-89.75,-121.75,9.09
-89.75,-121.25,9.09
-89.75,-120.75,9.09
-89.75,-120.25,9.09
-89.75,-119.75,1.03
-89.75,-119.25,1.03
-89.75,-118.75,1.03
-89.75,-118.25,1.03
-89.75,-117.75,1.03
-89.75,-117.25,1.03
-89.75,-116.75,1.03
-89.75,-116.25,1.03
-89.75,-115.75,1.03
-89.75,-115.25,1.03
-89.75,-114.75,1.03
-89.75,-114.25,1.03
-89.75,-113.75,1.03
